   type   nprocs   nnodes            perloop             output             setup          additional            speedup        efficiency 
      0     256         8               17.6                  0                  0                  0         6.97159091         0.87144886
      0     128         4               31.9                  0                  0                  0         3.84639498         0.96159875
      0      64         2               62.4                  0                  0                  0         1.96634615         0.98317308
      0      32         1              122.7                  0                  0                  0                  1                  1     
      1      32         1   3.4249345610e+02   1.8493218000e+01   7.8234920000e+00   2.9891634000e+01   1.0000000000e+00   1.0000000000e+00
      1      64         2   1.7450361420e+02   2.2145617000e+01   8.5677730000e+00   1.5266863000e+01   1.9626725651e+00   9.8133628255e-01
      1     128         4   9.1464630600e+01   6.8273992000e+01   1.4048193000e+01   8.2096260000e+00   3.7445453379e+00   9.3613633449e-01
      1     256         8   4.6302109900e+01   5.6620730000e+01   1.0413843000e+01   3.9819030000e+00   7.3969297909e+00   9.2461622386e-01
      1     512        16   2.4982828200e+01   3.6398255000e+01   8.2803348000e+01   2.9108540000e+00   1.3709154678e+01   8.5682216741e-01
      1    1024        32   1.3346418300e+01   3.7895998000e+01   4.3993837000e+01   1.4183250000e+00   2.5661825398e+01   8.0193204368e-01
      2      32         1   4.8764073060e+02   2.6943474000e+01   1.1055387000e+01   4.2969938000e+01   1.0000000000e+00   1.0000000000e+00
      2      64         2   2.5414617060e+02   2.3028313000e+01   1.4684205000e+01   2.4914507000e+01   1.9187412088e+00   9.5937060442e-01
      2     128         4   1.3084722290e+02   3.4484039000e+01   2.0164119000e+01   1.0495279000e+01   3.7267946525e+00   9.3169866313e-01
      2     256         8   6.8323784400e+01   3.4099116000e+01   3.0188677000e+01   5.4786750000e+00   7.1372031699e+00   8.9215039624e-01
      2     512        16   3.6143016000e+01   5.7718443000e+01   8.9391387000e+01   2.8784610000e+00   1.3491976724e+01   8.4324854524e-01
      2    1024        32   1.9335364400e+01   4.3177029000e+01   4.5393011000e+01   1.7612400000e+00   2.5220146903e+01   7.8812959073e-01
