   type   nprocs   nnodes            perloop             output             setup          additional            speedup        efficiency 
      0     256         8               17.6                  0                  0                  0         6.97159091         0.87144886
      0     128         4               31.9                  0                  0                  0         3.84639498         0.96159875
      0      64         2               62.4                  0                  0                  0         1.96634615         0.98317308
      0      32         1              122.7                  0                  0                  0                  1                  1
      3      32         1   1.3283329720e+02   3.7470420000e+00   8.7454000000e+00   6.5528430000e+00   1.0000000000e+00   1.0000000000e+00
      3      64         2   6.7538561600e+01   5.2539250000e+00   5.7079030000e+00   3.1484950000e+00   1.9667771130e+00   9.8338855650e-01
      3     128         4   3.4237211700e+01   1.1482994000e+01   4.8028000000e+00   1.6811430000e+00   3.8797930849e+00   9.6994827123e-01
      3     256         8   1.7410515300e+01   8.7640740000e+00   4.4246940000e+00   8.9725800000e-01   7.6294868309e+00   9.5368585386e-01
      3     512        16   9.0264302000e+00   1.1299350000e+01   1.4685143000e+01   3.8589500000e-01   1.4716038817e+01   9.1975242605e-01
      3    1024        32   5.1669744000e+00   2.4296565000e+01   5.5406030000e+00   1.8801400000e-01   2.5708139216e+01   8.0337935050e-01
      3    2048        64   3.2765779000e+00   3.9832124000e+01   1.3162524800e+02   7.2797000000e-02   4.0540253049e+01   6.3344145389e-01
      3    4096       128   1.6809342000e+00   1.0718143700e+02   4.5765449000e+01   2.8375000000e-02   7.9023496101e+01   6.1737106329e-01
