   type   nprocs   nnodes            perloop             output             setup          additional            speedup        efficiency 
      0     256         8               17.6                  0                  0                  0         6.97159091         0.87144886
      0     128         4               31.9                  0                  0                  0         3.84639498         0.96159875
      0      64         2               62.4                  0                  0                  0         1.96634615         0.98317308
      0      32         1              122.7                  0                  0                  0                  1                  1   
      1      32         1   2.2749490920e+02   8.8863760000e+00   7.7278280000e+00   5.8680990000e+00   1.0000000000e+00   1.0000000000e+00
      1      64         2   1.4928261630e+02   5.7045490000e+00   6.1550350000e+00   2.5676130000e+00   1.5239209684e+00   7.6196048421e-01
      1     128         4   7.6567744400e+01   1.1325323000e+01   5.0200140000e+00   1.4049510000e+00   2.9711585601e+00   7.4278964002e-01
      1     256         8   3.8546759500e+01   1.5814934000e+01   7.3487770000e+00   7.2686200000e-01   5.9017907640e+00   7.3772384550e-01
      1     512        16   1.9841177400e+01   1.4465905000e+01   6.5622830000e+00   2.7564900000e-01   1.1465796843e+01   7.1661230271e-01
      1    1024        32   1.0234529000e+01   3.2191484000e+01   1.0000993000e+01   1.3025400000e-01   2.2228175737e+01   6.9463049179e-01
      1    2048        64   5.2898569000e+00   4.6690490000e+01   2.1871496000e+01   4.9974000000e-02   4.3005872087e+01   6.7196675136e-01
      1    4096       128   2.8178610000e+00   1.5208724600e+02   3.1759563000e+01   2.4195000000e-02   8.0733190601e+01   6.3072805157e-01
      2      32         1   4.8764073060e+02   2.6943474000e+01   1.1055387000e+01   4.2969938000e+01   1.0000000000e+00   1.0000000000e+00
      2      64         2   2.5414617060e+02   2.3028313000e+01   1.4684205000e+01   2.4914507000e+01   1.9187412088e+00   9.5937060442e-01
      2     128         4   1.3084722290e+02   3.4484039000e+01   2.0164119000e+01   1.0495279000e+01   3.7267946525e+00   9.3169866313e-01
      2     256         8   6.8323784400e+01   3.4099116000e+01   3.0188677000e+01   5.4786750000e+00   7.1372031699e+00   8.9215039624e-01
      2     512        16   3.6143016000e+01   5.7718443000e+01   8.9391387000e+01   2.8784610000e+00   1.3491976724e+01   8.4324854524e-01
      2    1024        32   1.9335364400e+01   4.3177029000e+01   4.5393011000e+01   1.7612400000e+00   2.5220146903e+01   7.8812959073e-01
      3      32         1   1.3283329720e+02   3.7470420000e+00   8.7454000000e+00   6.5528430000e+00   1.0000000000e+00   1.0000000000e+00
      3      64         2   6.7538561600e+01   5.2539250000e+00   5.7079030000e+00   3.1484950000e+00   1.9667771130e+00   9.8338855650e-01
      3     128         4   3.4237211700e+01   1.1482994000e+01   4.8028000000e+00   1.6811430000e+00   3.8797930849e+00   9.6994827123e-01
      3     256         8   1.7410515300e+01   8.7640740000e+00   4.4246940000e+00   8.9725800000e-01   7.6294868309e+00   9.5368585386e-01
      3     512        16   9.0264302000e+00   1.1299350000e+01   1.4685143000e+01   3.8589500000e-01   1.4716038817e+01   9.1975242605e-01
      3    1024        32   5.1669744000e+00   2.4296565000e+01   5.5406030000e+00   1.8801400000e-01   2.5708139216e+01   8.0337935050e-01
      3    2048        64   3.2765779000e+00   3.9832124000e+01   1.3162524800e+02   7.2797000000e-02   4.0540253049e+01   6.3344145389e-01
      3    4096       128   1.6809342000e+00   1.0718143700e+02   4.5765449000e+01   2.8375000000e-02   7.9023496101e+01   6.1737106329e-01
      4      32         1            17748.8                  0                  0                  0                  1                  1
      4      64         2             8942.4                  0                  0                  0         1.98479155         0.99239578
      4     128         4             4572.8                  0                  0                  0         3.88138558          0.9703464
      4     256         8               2368                  0                  0                  0         7.49527027         0.93690878
      4     512        16             1353.6                  0                  0                  0        13.11229314         0.81951832
      4    1024        32              835.2                  0                  0                  0        21.25095785         0.66409243
