   language   num_proc     time            grind_dom       grind_tot       speedup         efficiency
   1          32           11093           1.5145634e+00   1.5145634e+00   1.0000000e+00   1.0000000e+00
   1          64           5589            1.5921074e+00   1.9901342e-01   1.98479155      0.99239578
   1          128          2858            1.5921074e+00   1.9901342e-01   3.88138558      0.9703464
   1          256          1480            1.5921074e+00   1.9901342e-01   7.49527027      0.93690878
   1          512          846             1.5921074e+00   1.9901342e-01   13.11229314     0.81951832
   1          1024         522             1.5921074e+00   1.9901342e-01   21.25095785     0.66409243
   2          1            3.3980000e+01   1.3504262e+00   1.3504262e+00   1.0000000e+00   1.0000000e+00
   2          8            7.6280000e+01   1.3910828e+00   1.7388535e-01   7.7661873e+00   9.7077341e-01
   2          27           1.2879000e+02   1.5167024e+00   5.6174164e-02   2.4039987e+01   8.9036991e-01
 
